Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality,Record number
2645e4ee-2658-40b9-aefc-f452918a09ad,CANB 790637.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,Upper Tuross River.,-36.3,149.5167,,-36.3,149.5167,,10000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,,,,,,"Wimbush, D.J.",1971,2,25,25/02/1971,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
e60763cb-921d-40a1-b066-7c3d6a1aa251,NSW 275953,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Tuross River, 20 miles [32 km] E of Cooma.",-36.25,149.5,,-36.25,149.5,,25000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,,,,,,"Briggs, B.G.",1965,12,27,27/12/1965,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
8cd497af-7356-4179-91ef-d057bf33198b,NSW 127662,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Tuross River.,-36.2,149.75,,-36.2,149.75,,25000,Australia,New South Wales,Eurobodalla (A),,South East Corner,,,,,,"Harnett, M.A.",1921,1,,1/01/1921,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
64ffd627-75ea-4dec-ac14-435ec97d7416,NSW 276829,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Mount Eurambene. (Source of Shoalhaven River. 25 miles [40 km] west-southwest of Moruya).,-36.03,149.48,,-36.03,149.48,,25000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1219,1219,,,,"Cole, J.",1945,11,22,22/11/1945,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,
766e2555-6e75-4bf5-91e2-2cc797a70e59,NSW 275894,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Big Badja Mountain [Hill], Great Dividing Range, 47 km NE [northeast] of Cooma.",-36.02,149.57,,-36.02,149.57,,2000,Australia,New South Wales,Eurobodalla (A),,South Eastern Highlands,1340,1340,,,,"Streimann, H.",1974,1,16,16/01/1974,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,HS885
d74d4c7b-7dd0-4963-a1a5-bec7e67d19b9,ERBG-6063,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr2262,ERBG AVH data,in544,Eurobodalla Regional Botanic Garden,co301,Wallace Herbarium,,ERBG,ERBG,Big Badja Hill,-36.00611111,149.5652778,EPSG:4326,-36.00611111,149.5652778,,50,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,,,,,,"Liney, J.",2003,12,8,8/12/2003,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE,2039
0a5953e2-a790-49dc-bb44-f6f981751a6f,NSW 704841,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,Big Badja Hill. AMG Badja 312123.,-36.0061111,149.5652778,,-36.0061111,149.5652778,,1000,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1360,1360,,,,"Liney, J.",2003,12,8,8/12/2003,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,2039
71047a47-bad4-4f40-950a-ef4572dee454,CANB 654959.1,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15860,CANB AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,,CANB,CANB,Deua National Park. Big Badja Hill. Map Badja 312123.,-36.0061,149.5653,,-36.0061,149.5653,,50,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1360,1360,,,,"Liney, J.",2003,12,8,8/12/2003,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,2039
f20f5413-19f0-4210-85ad-ab23362c1422,NSW 428944,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Big Badja Mountain, c. 100 m from trig,",-36.0052778,149.5658333,,-36.0052778,149.5658333,,50,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,1350,1350,,,,"Wood, B.",1998,12,5,5/12/1998,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,13
a5702773-e316-4ee5-ae29-ac4eaa31c1e7,NSW 887109,https://id.biodiversity.org.au/node/apni/2915463,P. phylicifolia F.Muell.,,P. phylicifolia,species,,Plantae,Charophyta,Equisetopsida,Lamiales,Lamiaceae,Prostanthera,,dr15861,NSW AVH data,in50,The Royal Botanic Gardens & Domain Trust,co54,National Herbarium of New South Wales,,NSW,NSW,"Beside track from carpark to summit, Big Badja Hill",-36.0044,149.5664,GDA94,-36.0044,149.5664,,,Australia,New South Wales,Cooma-Monaro (A),,South Eastern Highlands,,,,,,"Liney, J.",2003,12,8,8/12/2003,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE,2039
